X,Y,OBJECTID,COMPKEY,UNITID,UNITDESC,CONDITION,CONDITION_ASSESSMENT_DATE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITTYPE,CURRENT_STATUS_DATE,CATEGORY,INSTALL_DATE,INSTALLER,ELECTR_WIRE_LOC,CONTROL_PROTOCOL_TYPE,METERED,LAST_PM_DATE,SOLAR_INSTALL_DATE,HANSEN7ID,DISPHOUSINGCOND,MOUNT_TYPE,CROSSWALK_TUB,FLASHING,ATTACHMENT_CONDITION,POLE_CONDITION,SUPPORT_INSTALL_DATE,SPAN_CONDITION,CONTROL_CONDITION,CONTROL_TYPE,MODEM_TYPE,MODEL_TYPE,SIDE,SCHOOL_SPEED_CAMERA,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1272810.84241764,251540.772962302,3471,568678,BCN-138,EAST GREEN LAKE WAY N 0694 BLOCK C SIDE ( 365) 0 FT SW/O NE 71ST ST (BCN-REG)                                                                                                                                                                                  , ,, ,INSVC,DISTRICT6, ,N,16,14084,365.0,,BCN,2023/08/08 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,N, , ,, , , , , ,C,N,,-122.325712899245,47.679817015122
1260258.64803389,195203.681240395,3472,705814,BCN-508,SW TRENTON ST 0300 BLOCK N SIDE ( 175) 175 FT W/O 30TH AVE SW (BCN-SCHL)                                                                                                                                                                                       , ,, , ,DISTRICT1, ,N,16,22929,205.0,-21.0,BCN,,BCN-SCHL,2018/06/22 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,GLANCE,N,N,,-122.372085471297,47.5247217721272
1269064.38173473,256849.375534058,3473,732535,BCN-526,N 90TH ST 0120 BLOCK C SIDE ( 131) 0 FT W/O STONE E AVE N (BCN-XWK)                                                                                                                                                                                            , ,, ,INSVC,DISTRICT5, ,N,16,16011,131.0,,BCN,2023/08/09 00:00:00+00,BCN-XWK,2019/05/01 00:00:00+00, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.341340895663,47.6941674843282
1282834.00970723,249878.573858887,3474,568654,BCN-129,40TH AVE NE 0620 BLOCK C SIDE ( 664) 0 FT S/O NE 65TH ST (BCN-REG)                                                                                                                                                                                             , ,, ,INSVC,DISTRICT4, ,N,16,6319,664.0,,BCN,2023/08/08 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,N, , ,, , , , , ,C,N,,-122.284904087566,47.6757865123624
1280705.78233638,222894.969033554,3475,573032,BCN-171,E YESLER WAY 0310 BLOCK N SIDE ( 230) 10 FT W/O 32ND AVE (BCN-SCHL)                                                                                                                                                                                            ,GOOD,2014/05/30 00:00:00+00,SDOT,INSVC,DISTRICT3, ,N,16,14956,260.0,25.0,BCN,2014/05/30 00:00:00+00,BCN-SCHL,2009/12/15 00:00:00+00,SDOT, , ,N,,,SB53X1, ,TM-SHLDR,N,Y, , ,2005/03/02 00:00:00+00, , ,WEB, ,GLANCE,N,N,,-122.291466144253,47.6017142233708
1280944.15489113,214389.42994231,3476,567302,BCN-49,S MCCLELLAN ST 0330 BLOCK N SIDE ( 239) 0 FT W/O 34TH AVE S (BCN-SCHL)                                                                                                                                                                                         ,GOOD,, ,INSVC,DISTRICT2,DISTRICT3,N,16,20819,252.0,26.0,BCN,2014/07/10 00:00:00+00,BCN-SCHL,2014/07/10 00:00:00+00,SDOT, , ,N,,,SB61X2, ,TM-SHLDR,N,Y, , ,, , ,WEB, ,BCN-TC3,N,N,,-122.289847630017,47.5784129227942
1271797.86576906,226157.647875637,3477,622037,BCN-375,SENECA ST 0090 BLOCK C SIDE ( 245) 245 FT NE/O 9TH AVE (BCN-XWK)                                                                                                                                                                                               , ,, ,INSVC,DISTRICT3, ,N,16,12779,245.0,,BCN,,BCN-XWK,, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,C,N,,-122.32782333411,47.6101887239116
1262636.63048264,203751.851808056,3478,632168,BCN-394,DELRIDGE WAY SW 0590 BLOCK W SIDE ( 644) 644 FT S/O SW JUNEAU ST (BCN-XWK)                                                                                                                                                                                     , ,, , ,DISTRICT1, ,N,16,9970,667.0,-29.0,BCN,,BCN-XWK,, , , ,N,,,, , ,N,N, , ,, , , , ,BCN-RRFB,W,N,,-122.363150462788,47.5482818198016
1253474.50838697,244088.623168483,3479,573402,BCN-218,W GOVERNMENT WAY 0350 BLOCK C SIDE ( 310) 0 FT E/O 36TH AVE W (BCN-REG)                                                                                                                                                                                        , ,, ,INSVC,DISTRICT7, ,N,16,23392,310.0,,BCN,2023/08/09 00:00:00+00,BCN-REG,, , , ,N,,,, ,TM-OVRHEAD,N,Y, , ,, , , , , ,C,N,,-122.403574682807,47.6583363539973
1259217.85615222,189491.64607656,3480,567204,BCN-39,35TH AVE SW 1043 BLOCK E SIDE (   0) 0 FT S/O SW 105TH ST (BCN-SCHL)                                                                                                                                                                                           ,GOOD,2014/07/21 00:00:00+00, ,INSVC,DISTRICT1, ,N,16,5492,13.0,17.0,BCN,2014/07/21 00:00:00+00,BCN-SCHL,2014/07/21 00:00:00+00,SDOT,AERIAL, ,N,,,SB86X2, ,TM-SHLDR,N,Y, , ,2005/03/02 00:00:00+00, , ,WEB, ,BCN-TC3,E,N,,-122.375833763395,47.5090082950883
