OBJECTID,NLCS_ID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,WC_TYPE,GlobalID,Shape_Length,Shape_Area
184,,Batamote Mtns. East,UNK,AZ,Wilderness Characteristic Protection Area,{46E0AFC0-45C5-49A0-8840-F597071CB2AB},41722.576819853,45000983.0464944
185,,Grand Wash Addition,UNK,AZ,Wilderness Characteristic Protection Area,{C34343CE-751E-4FD2-B7F9-74A253F53DF4},34068.1358882695,31011188.7795635
186,,Grand Wash Addition,UNK,AZ,Wilderness Characteristic Protection Area,{1E3FA593-F9C9-4565-A43F-74B44635749C},73252.472989618,71963354.6940061
187,,Aquarius Cliffs aka Kaiser Springs Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{3FD1E5A9-5AA3-4104-A980-6AF20F5AED5E},210571.686088983,252387882.864236
188,,Robinson Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{7B1F9269-D0D8-44D8-A4D1-E4ED976246AA},37146.4663913362,37840188.2351326
189,,Yellow Medicine Butte,UNK,AZ,Other Lands with Wilderness Characteristics,{76D4B2DF-0B44-47CE-8A2A-637EB0D4B887},53909.4738091634,45402364.738862
191,,Castaneda Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{61A47F2F-C136-486B-A667-1716FD75B6DA},72720.9458548976,140403088.861783
192,,Hidden Hills 2,UNK,AZ,Other Lands with Wilderness Characteristics,{7AB2EFF6-5B9B-4D85-88D8-D51C8F999C84},29331.502694765,14366023.4489193
193,,Rock Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{CEDE5CAD-32DF-4D94-B531-CF2C44843359},48463.476318813,49863106.6360039
194,,Mud Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{8CDB100C-DDF9-4F8F-8409-5E9EBA8C7DB5},105203.23721056,185727316.438372
195,,Pigeon Canyon 1,UNK,AZ,Other Lands with Wilderness Characteristics,{2AB1AED0-4F18-4855-8573-737AFD8F030A},110021.291776698,63903202.4863281
196,,Dutch Flat South,UNK,AZ,Other Lands with Wilderness Characteristics,{8A66621D-9CF1-4FE8-AC29-0BD6591F83FA},42768.0902416612,52304763.5153854
197,,Little Horn Mountains West,UNK,AZ,Other Lands with Wilderness Characteristics,{5AE53464-1F0F-4AC7-B4CF-C49883DBFC1D},33745.4482597462,41509807.8463577
198,,White Hills,UNK,AZ,Wilderness Characteristic Protection Area,{A7060AEC-4C3A-4E8B-BCF5-A912FA7C1ACA},35433.0892262748,52783465.4686822
199,,Purgatory,UNK,AZ,Wilderness Characteristic Protection Area,{0CB7F0D2-836C-4CE6-A39E-7ACEC42FB59D},62187.5671138266,44402954.1310379
200,,Cottonwood Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{A12ADB7A-46B0-48D0-ADB6-B06D682030F5},30534.5970102547,35783549.0076671
201,,Toroweap,UNK,AZ,Wilderness Characteristic Protection Area,{991E8CAF-5F1D-41CA-9498-C97BDF5E3EE3},14365.308982757,13065225.7393847
202,,Roskruge Mountains,UNK,AZ,Wilderness Characteristic Protection Area,{8C69F068-3E9A-433D-A0C7-675AF6A653AD},19799.4570492445,6680092.27544329
203,,Butterfield Pass,UNK,AZ,Other Lands with Wilderness Characteristics,{9A0A3F14-565D-43A2-8EA5-97BF5E0DC190},38461.4991593163,38875677.6638349
204,,Agua Fria,UNK,AZ,Other Lands with Wilderness Characteristics,{D16EF14B-344D-4DDC-8B9D-001FB8C73375},48020.5281639033,22542450.1737542
205,,Sand Tanks West,UNK,AZ,Wilderness Characteristic Protection Area,{5E02D760-D37C-4D49-AF66-D0ADFFFAC97B},54679.3066601465,103684542.026957
207,,Paiute Addition 3,UNK,AZ,Other Lands with Wilderness Characteristics,{3617D2F8-53BB-4413-89DA-446575612DD6},7903.11092068941,196286.780916444
208,,Andrus Canyon,UNK,AZ,Wilderness Characteristic Protection Area,{8D2E75FB-971A-4C0B-BFDF-6913471B673D},113669.626159068,125169742.301543
209,,Glen Canyon 2,UNK,AZ,Other Lands with Wilderness Characteristics,{3B560984-2986-4B40-B7AE-BFB51F9D00D5},3057.44459300677,507632.559386638
210,,Paria Plateau Rim 1,UNK,AZ,Other Lands with Wilderness Characteristics,{1643102B-E630-4D24-B24F-DB159E3CB921},6427.87322859164,354502.726440845
211,,Lousy Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{8C85876A-31E0-435C-A7F3-76615B1C544A},42131.0603243397,9761937.0074725
212,,South Tank Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{F413BD60-11DF-49E5-AB79-39361995D134},22441.568561195,15752919.9143101
213,,Big Horn,UNK,AZ,Wilderness Characteristic Protection Area,{5738EBDF-C11E-4F05-A96B-DA7514063823},7139.77871759334,1933344.09586111
214,,Scratch and Jerky Canyons,UNK,AZ,Other Lands with Wilderness Characteristics,{57081752-F43E-4DA0-A5E2-DEC6F66E38A0},24096.4327861297,22422406.6689643
215,,South Maricopa Mtns. Extension,UNK,AZ,Other Lands with Wilderness Characteristics,{0941920E-F019-4B44-8E51-0EF9811B7876},36827.3068356808,38459412.3000004
216,,Harcuvars (SE. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{68D72489-847F-4298-A5D5-FD647D1F0651},48279.3140754865,39749102.9191127
218,,Black Canyon Creek,UNK,AZ,Wilderness Characteristic Protection Area,{D36FC30E-9CFF-404E-8691-B8CDD92A9938},50077.2884634156,39762412.1935742
219,,Centennial Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{4ECBBE79-CFC8-48EA-ABEF-150196C456C5},79243.0467571635,174977967.380909
220,,Snap Canyon 2,UNK,AZ,Wilderness Characteristic Protection Area,{627E2D8E-FE27-4F24-96E3-6EB1CA0330A6},27355.1825391798,7928622.58277223
221,,Castle Peak,UNK,AZ,Wilderness Characteristic Protection Area,{A92FF8DC-2E17-41EE-8048-765434F19811},39177.2730376456,41737429.9084958
222,,Billy Goat Peak East,UNK,AZ,Other Lands with Wilderness Characteristics,{1A26EAE0-D5B7-42BF-94A2-475832464CD8},77247.7020562725,29698993.900896
224,,Silver Creek,UNK,AZ,Other Lands with Wilderness Characteristics,{F92223BF-B9B4-43FC-945E-7B877C41BCF1},28268.0871463186,40374945.4950184
225,,Oxbow,UNK,AZ,Other Lands with Wilderness Characteristics,{03AAE709-8350-4BD3-8D61-9CDDA76F8ED3},36198.6572082088,31373909.5029372
226,,Black Mountains North,UNK,AZ,Other Lands with Wilderness Characteristics,{99032DAA-9256-40C2-87E2-2857F859F128},59585.6081117684,79394564.6450601
227,,Music Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{BC53794D-60CD-45A5-AACF-D8BA2D876B3C},177561.462932954,295297639.670655
229,,Ferry Swale 2,UNK,AZ,Other Lands with Wilderness Characteristics,{3E0C7B7A-E01E-4051-88A6-F8C9381E033B},5926.02182609645,1692356.92914604
230,,Rock Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{DA0E3975-EF2E-42CA-9144-FCAFFD615210},36459.0518042556,33314362.7113613
231,,Tuckayou,UNK,AZ,Other Lands with Wilderness Characteristics,{56591AF1-F8E3-4D1E-8DFE-3715AB3F8BAE},26253.525616126,29867640.4263189
232,,White Knolls_Paria Plateau Rim_One Toe Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{1FAF383C-0180-4CD9-9377-809525AB1E90},12455.4307409425,5622411.45379696
233,,Saddle Mountain,UNK,AZ,Wilderness Characteristic Protection Area,{C4FF2782-995D-4D5A-A14C-685D77921F6E},28403.1255415601,32011248.6518722
234,,Million Hills East,UNK,AZ,Wilderness Characteristic Protection Area,{3A8672F3-EB78-455F-9DCB-90E0D5D7A22A},26036.7272171885,32199579.343505
235,,Grand Wash Addition,UNK,AZ,Wilderness Characteristic Protection Area,{F29751FB-B84D-49F1-93D2-18A3BD6A993C},19825.5677013035,6564692.95416318
236,,Harquahala Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{D9BAFD42-0BF7-4E05-9339-2199F53D67FB},368.440931525102,4397.32699592828
237,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{5F22A030-6F0B-4866-9840-8E92AB7A7E98},4034.71556192607,14579.9344635043
238,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{D3749A26-4814-4C58-BB93-BEA860CF8FE1},1495.55718003724,5360.50410416947
239,,Mescal Mountain WCI Citizen Proposal,UNK,AZ,Other Lands with Wilderness Characteristics,{12386CAA-935A-4254-8F14-B0CB91D79211},40156.6019502121,54343404.1823262
240,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{ED98B5E0-6CA1-4F71-B862-24C92A61BE65},5227.28387008367,968744.789365882
241,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{ECB505E6-9056-429A-B3A1-8DA16521469D},35730.8486523823,19408218.0320069
242,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{E2661421-2B95-41A2-AA1A-7485356A7A65},1612.46850224548,162501.701006354
243,,Rafter Six,UNK,AZ,Other Lands with Wilderness Characteristics,{38ACC68D-5F93-4AB4-86BF-2B276536A905},4819.46295817582,806829.642730425
244,,Purgatory,UNK,AZ,Other Lands with Wilderness Characteristics,{5C861CB6-7DA9-466C-AFE1-65274AA8E8E7},47076.828880264,1029464.39434487
245,,Parashant Canyon 1,UNK,AZ,Other Lands with Wilderness Characteristics,{9FA91A6B-3815-457B-9C82-2FA115EDE895},151407.252372125,45467626.557969
246,,Unnamed 22,UNK,AZ,Other Lands with Wilderness Characteristics,{B05A43AD-E723-4940-AB88-688024677F31},13331.6766675702,3103910.52849406
