OBJECTID,NLCS_ID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,WC_TYPE,GlobalID,Shape_Length,Shape_Area
43,,Sawtooth Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{E9D53E05-A1B2-4C5F-934B-9CC16107A2FF},52448.2297237874,46217299.0106627
44,,Grassy Mountain,UNK,AZ,Wilderness Characteristic Protection Area,{74F8896A-FD84-427A-A0C0-CA9B269830E6},26877.0905685323,23211930.4058362
45,,Planet Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{258D3D78-B052-4FA1-9809-913B52C93D0F},56177.2946996643,16710136.3152658
46,,Bush Head,UNK,AZ,Wilderness Characteristic Protection Area,{D570C1C2-3717-4EFC-8792-8B57BEAAF07C},99724.7614749262,66950624.7245973
47,,Snap Canyon 1,UNK,AZ,Wilderness Characteristic Protection Area,{547E6738-B348-41B9-9E93-3AC82979F866},115176.718901662,122110612.720892
48,,Paiute Addition 3,UNK,AZ,Wilderness Characteristic Protection Area,{71D46BE3-A7CA-4029-A159-12C33B17A8E6},6080.4599517349,2086050.17628448
49,,Harquahala Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{3B0D4EBA-FBE5-4324-8529-1B2EACF38D05},25323.5847997028,18610853.9172247
50,,Grassy Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{16776025-41AA-466F-934B-12694D4F83DA},6287.40295571679,2000817.15152231
51,,Swansea (E. Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{CCB68619-2F08-4164-A502-6544A032D365},20355.9897394072,13795043.1528305
52,,Harquahala Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{BB7D8DEE-5304-44DD-98A8-4B70931F48BB},75363.6266300342,133758469.479208
53,,Planet Peak,UNK,AZ,Wilderness Characteristic Protection Area,{F304D2C6-6E81-4A77-BAC6-7C021CF8B160},33577.4556006661,51325697.2619204
54,,Sand Tanks East,UNK,AZ,Wilderness Characteristic Protection Area,{2ACF036B-353B-4548-A081-ACE20D68E71A},58457.9502408929,79468757.0144623
55,,Hobble Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{45AE531B-4CCE-4EC7-8231-2919838B9B56},40740.7633425382,47614756.3263467
56,,Badlands,UNK,AZ,Other Lands with Wilderness Characteristics,{75BC0588-0DF1-44FE-84A1-A8C4E77633AF},33092.9168753896,52956776.320933
57,,Hassayampa River Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{E2EDE6C9-598F-437B-9086-D3588174E43B},45911.1999683779,42401853.825675
58,,Death Valley Spring,UNK,AZ,Wilderness Characteristic Protection Area,{CEA7EFA1-120F-4C6B-9743-931B2F08E5A0},25568.8327599211,17792352.8297704
59,,Big Horn Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{48571629-3CEC-4B0F-AE8B-3870609D84A1},8630.54208511444,1355092.33890516
60,,Fox Wash,UNK,AZ,Other Lands with Wilderness Characteristics,{A5656497-45A6-4D76-9C90-CDCB0B5E9486},47527.6477786733,5079234.77009988
61,,White Knolls_Paria Plateau Rim_One Toe Ridge,UNK,AZ,Wilderness Characteristic Protection Area,{94C0923A-BFCC-47AE-9C0F-61124078416A},24644.9717325639,12005597.3660049
63,,One Toe Ridge 3,UNK,AZ,Other Lands with Wilderness Characteristics,{45B3CF1A-6B49-447C-8EAB-8059188896C1},7370.2456521515,1305713.59278401
64,,Margies Peak,UNK,AZ,Other Lands with Wilderness Characteristics,{D625FE2E-322C-43CB-83F5-45C35D573117},34430.5886022298,56573347.6953125
65,,Lookout Spring,UNK,AZ,Other Lands with Wilderness Characteristics,{AB1BD38C-C095-4CBE-A721-772E5EEE3142},32948.4758902293,36186720.1921578
66,,Clanton Hills,UNK,AZ,Other Lands with Wilderness Characteristics,{9B05BA79-EFB5-428E-AD74-93C5DC784536},22194.3465941985,23068490.0472192
67,,Silverbell Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{B445A0DD-981D-4224-90BA-B7995B561157},42219.972762406,24368900.1518854
68,,Harcuvars (W.Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{7A7E08FC-2071-4FC0-989C-86196B39FD28},57561.6762571233,67090896.5698876
69,,Andrus Canyon,UNK,AZ,Wilderness Characteristic Protection Area,{D893DB07-3322-41BB-B07F-8C3970418E3D},11248.4251383956,3197276.18945358
70,,Virgin Peak Ridge,UNK,AZ,Other Lands with Wilderness Characteristics,{12C8A135-242B-4F22-9367-B700AD94CB11},42025.1381348045,16534275.2720714
71,,Woolsey Extension,UNK,AZ,Other Lands with Wilderness Characteristics,{46878C5C-E24C-4B12-9CE5-9CD359534A88},48588.6542153868,41073193.8687772
72,,Harquahala Mountains,UNK,AZ,Other Lands with Wilderness Characteristics,{B9DE02AA-3767-4FD6-A96A-B5FEB8416902},74758.1402313599,50622374.9011022
73,,Saddle Mountain,UNK,AZ,Other Lands with Wilderness Characteristics,{E1C2BFBF-3BDD-482F-AF68-3BB0F3218222},65708.9563451839,38971131.9374586
74,,Red Lake,UNK,AZ,Other Lands with Wilderness Characteristics,{C79E4645-6A54-4AA3-9C01-05E1560AB1B8},35060.4708417271,21193875.42839
75,,Hells Hollow,UNK,AZ,Wilderness Characteristic Protection Area,{9D4EFAD8-4B34-4E31-BC62-B29EF4AFD912},22007.6879523949,6703944.24623548
76,,Bush Head,UNK,AZ,Other Lands with Wilderness Characteristics,{68B32ACC-4C1C-43BB-93F4-B557986592CA},36696.6783091277,25331557.4464243
77,,Beaver Dam 1,UNK,AZ,Other Lands with Wilderness Characteristics,{DB6D8F5D-CAAC-40EF-B799-DA80985BAFBD},16075.2371251673,9960149.83867336
78,,Baby Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{783C5BD3-E91A-4524-9B8F-F4D6F80D378C},48164.9703013563,8515861.3189868
79,,Grand Wash Addition,UNK,AZ,Other Lands with Wilderness Characteristics,{39C905A6-F161-430E-B8D5-E853A35BF803},31581.1239336762,13525506.8449354
80,,Swansea (N.Unit),UNK,AZ,Other Lands with Wilderness Characteristics,{E03CA9EE-1EA0-4EEF-A356-BF739C5BDA8E},25575.443849753,29111010.7318015
81,,Hurricane Cliffs,UNK,AZ,Other Lands with Wilderness Characteristics,{562E9610-ACBE-40C1-8E8C-C135F793918F},49121.4256464714,56312564.6162197
82,,Boundary Cone Plain,UNK,AZ,Other Lands with Wilderness Characteristics,{B4249BC5-CD39-469C-8BA7-DB1830CA6FF5},26840.4483409415,24043827.8240555
83,,Beaver Dam 2,UNK,AZ,Other Lands with Wilderness Characteristics,{085BB0D2-6B11-4954-8D0A-921186D687AE},19678.8223502455,10945803.3297422
84,,Grama Canyon,UNK,AZ,Other Lands with Wilderness Characteristics,{C475BBBD-AE5F-4651-867B-5C431BFE62B2},242978.477223259,116104321.496368
85,,Lime Kiln Mountain,UNK,AZ,Wilderness Characteristic Protection Area,{74077CC4-5B0E-447B-ACF3-85B653BBE84E},89784.6919790784,55175100.4919939
