OBJECTID,ParcelId,CreateUser,CreateDate,EditUser,EditDate,UsageClass,PlanYear,Shape__Area,Shape__Length
3355,RES_416,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,118862.702880859,2421.98653833133
3356,RES_723,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,20701.6979370117,696.204442685188
3357,MIXED USE_3223,,,LANDUSE,2020/07/25 00:52:22+00,2.0,0.0,17641.2114257813,537.363248827335
3358,RES_1062,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,43311.7223510742,878.765638601963
3359,RES_2116,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,65698.0900268555,1461.58443230011
3360,RES_3144,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,98145.4067993164,1830.63623330942
3361,RES_2541,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,149198.527709961,2727.7485383798
3362,EDUC_3514,,,LANDUSE,2020/07/25 00:52:22+00,5.0,0.0,39596.4345703125,1005.14888121556
3363,RES_2793,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,102474.095214844,2068.39365587503
3364,RES_2199,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,610165.756103516,4373.41962436703
3365,OS_3621,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,299472.171691895,7195.51678098749
3366,RES_410,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,100650.221801758,1322.4451844905
3367,MIXED USE_324,,,LANDUSE,2020/07/25 00:52:22+00,2.0,0.0,666768.617675781,3406.88061425021
3368,OS_3605,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,2371749.15649414,7049.94621115549
3369,MIXED USE_3137,,,LANDUSE,2020/07/25 00:52:22+00,2.0,0.0,34698.0955810547,795.825583546588
3370,RES_1226,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,807.9296875,2638.1730529934
3371,RES_2829,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,151663.693969727,2818.33936750301
3372,COMM_88,,,LANDUSE,2020/07/25 00:52:22+00,1.0,0.0,361286.961425781,2505.77202225119
3373,RES_2724,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,102204.417785645,1841.24366140194
3374,RES_1198,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,44427.9221801758,976.274259094825
3375,RES_448,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,157643.942626953,1654.37428428926
3376,RES_843,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,112631.399902344,2393.7553449113
3377,RES_2924,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,25562.9342651367,682.601139748124
3378,OS_3579,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,2.56292724609375,21.7799013064956
3379,RES_806,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,163943.00012207,2165.35266673677
3380,RES_832,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,140313.83770752,1673.75751645783
3381,OS_3664,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,449362.076293945,10683.0362937023
3382,RES_1097,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,217131.65637207,4130.74850764416
3383,RES_3040,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,150354.049438477,1602.42088115287
3384,RES_1579,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,87117.2571411133,1501.57197487068
3385,RES_3087,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,68933.3734741211,1257.26952262367
3386,RES_2625,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,50672.0986328125,1093.1897674726
3387,RES_1446,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,91660.447265625,1566.63210647422
3388,RES_776,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,239306.090637207,4022.40574784233
3389,RES_1254,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,49673.2224731445,1128.35215586242
3390,RES_1176,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,69439.1809082031,1543.5068317959
3391,RES_3323,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,120557.608947754,2620.05365950705
3392,RES_1514,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,98456.8646240234,1296.80314537005
3393,RES_2925,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,50560.4823608398,1125.39090026342
3394,RES_3344,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,67204.8413696289,1593.44201557735
3395,RES_3388,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,15575.5675048828,2023.00693722446
3396,RES_1506,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,133564.575744629,2452.0644855093
3397,RES_860,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,991568.386169434,14699.0714758814
3398,RES_1711,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,94143.0858764648,2020.72998726906
3399,CIVIC_3477,,,LANDUSE,2020/07/25 00:52:22+00,4.0,0.0,23248.1685180664,610.900992287892
3400,COMM_2365,,,LANDUSE,2020/07/25 00:52:22+00,1.0,0.0,163.345581054688,781.857737228146
3401,RES_2139,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,49984.5349731445,1049.84303157898
3402,COMM_2377,,,LANDUSE,2020/07/25 00:52:22+00,1.0,0.0,23989.6813964844,622.611618007757
3403,REC_3090,,,LANDUSE,2020/07/25 00:52:22+00,7.0,0.0,150.619934082031,498.102618025323
3404,IND_203,,,LANDUSE,2020/07/25 00:52:22+00,3.0,0.0,503588.689453125,3951.1511334414
3405,RES_1945,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,19915.7979125977,609.223222005126
3406,IND_230,,,LANDUSE,2020/07/25 00:52:22+00,3.0,0.0,379158.262817383,2641.18277726878
3407,RES_965,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,33007.8843994141,784.244526594809
3408,RES_2514,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,132184.846435547,2762.89857817643
3409,IND_239,,,LANDUSE,2020/07/25 00:52:22+00,3.0,0.0,1269982.14178467,6817.52800771032
3410,RES_2111,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,77375.9846801758,1173.82267923049
3411,MIXED USE_354,,,LANDUSE,2020/07/25 00:52:22+00,2.0,0.0,125573.733703613,2694.25546736786
3412,COMM_28,,,LANDUSE,2020/07/25 00:52:22+00,1.0,0.0,818.956848144531,3617.37189548138
3413,RES_1049,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,21897.0842895508,574.170419925354
3414,RES_779,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,93160.757019043,1970.34832932191
3415,REC_3209,,,LANDUSE,2020/07/25 00:52:22+00,7.0,0.0,2120521.02526855,7342.02422755415
3416,RES_2182,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,118525.061157227,2448.21169449626
3417,RES_2870,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,149625.383422852,3150.38333169511
3418,RES_2039,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,89970.561706543,1249.8084666656
3419,RES_2162,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,65453.7618408203,1568.12179947624
3420,RES_3035,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,46811.4758911133,1122.63806513362
3421,RES_1578,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,81371.8856201172,1571.61252519279
3422,EDUC_195,,,LANDUSE,2020/07/25 00:52:22+00,5.0,0.0,275622.901916504,2201.05020408318
3423,OS_3615,,,LANDUSE,2020/07/25 00:52:22+00,8.0,0.0,286154.446350098,3219.29256485247
3424,MIXED USE_2435,,,LANDUSE,2020/07/25 00:52:22+00,2.0,0.0,270.897338867188,867.661362050115
3425,RES_3382,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,76714.141784668,1680.20978920149
3426,RES_2351,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,685.959716796875,138.372961893846
3427,RES_2974,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,22848.6607666016,594.35418537616
3428,RES_2605,,,LANDUSE,2020/07/25 00:52:22+00,0.0,0.0,174158.195617676,3418.52087533238
