OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1111,10018,DENNY WAY,1043,B,,,,25000.0,,25000,Estimate,,262.855548235822
1112,"12491,7911","RAYE ST,6TH AVE N",1268,N,2018/01/18 09:15:00+00,786.0,712.0,9399.0,9032.0,9400,Study,,1177.7994508555
1113,"3361,3360,3362,3359",23RD AVE,856,N,2015/03/02 00:00:00+00,,,18630.0,17248.0,18600,Study - 13-15,,1799.28104324068
1114,"19236,19237,19238",NW MARKET ST,1575,N,2018/10/10 00:00:00+00,955.0,1165.0,14402.0,14268.0,14400,Study(Normalized),,1708.14353327619
1115,"5455,5459,5457,5461,5458,5452,5453,5454,5456",35TH AVE SW,297,N,2015/11/05 00:00:00+00,,,24263.0,23153.0,24300,Study - 13-15,,5976.27964839032
1116,"1586,1585",12TH AVE NE,1689,N,2017/07/19 09:15:00+00,368.0,1047.0,7692.0,7151.0,7700,Study,,508.176258243477
1117,"10874,8476,8477","HENDERSON PL SW,8TH AVE SW",104,N,2015/05/06 00:00:00+00,,,6207.0,6009.0,6200,Study - 13-15,,2079.73698286127
1118,2903,2ND AVE W,1164,N,2018/06/28 00:00:00+00,271.0,305.0,3197.0,3046.0,3100,Study(Normalized),,412.8642336416
1119,14344,E MADISON ST,907,N,,,,17500.0,,17500,Estimate,,152.79766040445
1120,8162,7TH AVE,968,Y,,,,3800.0,,3800,Estimate,,125.486065107809
1121,12899,STEWART ST,849,Y,2014/07/16 00:00:00+00,,,10186.0,9734.0,10200,Study - 13-15,,322.082864691185
1122,"8412,8420,8419,8418,8416,8413,8414,8415,8417",8TH AVE NW,41,N,2017/11/29 15:30:00+00,708.0,851.0,8767.0,8207.0,8800,Study,,3960.4948132132
1123,"9127,573404,166925",BEACON AVE S,296,N,2014/09/30 00:00:00+00,,,6677.0,6094.0,12800,Study - 13-15,Combined,863.7801698622
1124,"6145,6144,6143,6142",4TH AVE,1063,Y,,,,9000.0,,9000,Estimate,,1002.39903652115
